video_id,video_title,description,channel_id,channel_title,published_at,duration,tags,category_id,view_count,like_count,comment_count,artist_name,extracted_at,source,ingestion_date
bL5IuLDBuDQ,JACK - J97 | TAM THÁI TỬ | Album TAM THÁI TỬ - Track No.11,"Stream trên các nền tảng số 👇🏻👇🏻👇🏻
Tam Thái Tử: https://jackj97.lnk.to/TamThaiTu

Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-05T16:30:06Z,PT3M48S,[],10,2746401,59361,17287,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
f4pdkPVkFi8,JACK - J97 | HƯỚNG DƯƠNG BẤT TỨC | Album TAM THÁI TỬ - Track No.10,"Stream trên các nền tảng số 👇🏻👇🏻👇🏻
Hướng Dương Bất Tức: https://jackj97.lnk.to/HDBT

Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-05T15:30:06Z,PT3M37S,[],10,1626963,35519,8394,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
0ohZ4Eslwf8,JACK - J97 | THÌ RA MÌNH ĐÃ YÊU NHAU XONG RỒI | Album TAM THÁI TỬ - Track No.9,"Stream trên các nền tảng số 👇🏻👇🏻👇🏻
Thì Ra Mình Đã Yêu Nhau Xong Rồi: https://jackj97.lnk.to/TRMDYNXR

Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-05T14:30:07Z,PT3M22S,[],10,1549118,31934,5409,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
0Lj1FnJkoWg,JACK - J97 | HÀO HOA | Official Music Video - Album TAM THÁI TỬ - Track No.8,"Stream trên các nền tảng số 👇🏻👇🏻👇🏻
Hào Hoa: https://jackj97.lnk.to/HaoHoa

Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-05T13:30:07Z,PT3M54S,"['Hoa Trong Đá', 'Hoa Trong Da', 'JACK', 'J97', 'JACK J97', 'Jack J97', 'Hoa Trong Đá JACK', 'Hoa Trong Da JACK', 'JACK Hoa Trong Đá', 'J97 Hoa Trong Đá', 'Hoa Trong Đá J97', 'Official Teaser', 'Hoa Trong Đá Official Teaser', 'teaser Hoa Trong Đá', 'Album Tam Thái Tử', 'Tam Thái Tử', 'JACK Album Tam Thái Tử', 'J97 Album Tam Thái Tử', 'teaser JACK J97', 'hào hoa', 'hao hoa j97', 'j97 hào hoa', 'hào hoa official mv']",10,1522248,41032,7731,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
5r3m8MMX-YA,JACK - J97 | HÀO HOA | Official Teaser - Album TAM THÁI TỬ,"Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-04T13:09:32Z,PT21S,"['Hoa Trong Đá', 'Hoa Trong Da', 'JACK', 'J97', 'JACK J97', 'Jack J97', 'Hoa Trong Đá JACK', 'Hoa Trong Da JACK', 'JACK Hoa Trong Đá', 'J97 Hoa Trong Đá', 'Hoa Trong Đá J97', 'Official Teaser', 'Hoa Trong Đá Official Teaser', 'teaser Hoa Trong Đá', 'Album Tam Thái Tử', 'Tam Thái Tử', 'JACK Album Tam Thái Tử', 'J97 Album Tam Thái Tử', 'teaser JACK J97', 'hào hoa', 'hao hoa j97', 'j97 hào hoa', 'hào hoa official mv']",10,324573,9646,787,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
u052vHX5nHk,Nát tan cõi lòng...,"_____________
Copyright: social@j97promotion.com
booking: booking@j97promotion.com

Jack’s Official Social Networks:
Facebook Profile: https://www.facebook.com/phuongtuan1997
Fanpage: https://www.facebook.com/jack.phuongtuan1204
Instagram: https://www.instagram.com/iamjack1997/
Twitter: https://twitter.com/phuongtuan_j97
Tiktok: https://www.tiktok.com/@imjack1997 

J97 Entertainment’s Official Social Networks: 
Website: https://j97entertainment.com 
Fanpage: https://www.facebook.com/J97entertainment.official 
Youtube: https://www.youtube.com/@J97entertainment.official 
Linkedin: https://www.linkedin.com/company/j97entertainment

Appreciate your supporting.",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-04T09:21:29Z,PT23S,[],10,56667,1814,58,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
gR7-IH4K6DE,JACK - J97 | NÁT TAN CÕI LÒNG | Album TAM THÁI TỬ - Track No.7,"Stream trên các nền tảng số 👇🏻👇🏻👇🏻
- Nát Tan Cõi Lòng: https://jackj97.lnk.to/NTCL


Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-03T15:30:07Z,PT4M23S,[],10,2053927,38978,7128,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
TVeR6Po1Bvo,Tìm hoài mắt môi hôm nào đón đưa,"_____________
Copyright: social@j97promotion.com
booking: booking@j97promotion.com

Jack’s Official Social Networks:
Facebook Profile: https://www.facebook.com/phuongtuan1997
Fanpage: https://www.facebook.com/jack.phuongtuan1204
Instagram: https://www.instagram.com/iamjack1997/
Twitter: https://twitter.com/phuongtuan_j97
Tiktok: https://www.tiktok.com/@imjack1997 

J97 Entertainment’s Official Social Networks: 
Website: https://j97entertainment.com 
Fanpage: https://www.facebook.com/J97entertainment.official 
Youtube: https://www.youtube.com/@J97entertainment.official 
Linkedin: https://www.linkedin.com/company/j97entertainment

Appreciate your supporting.",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-03T15:15:27Z,PT54S,[],10,34187,1560,62,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
unipk5mQYbk,Mỗi Lần Nhớ Em Là Một Ngày Mưa Track no.6 Album Tam Thái Tử,"_____________
Copyright: social@j97promotion.com
booking: booking@j97promotion.com

Jack’s Official Social Networks:
Facebook Profile: https://www.facebook.com/phuongtuan1997
Fanpage: https://www.facebook.com/jack.phuongtuan1204
Instagram: https://www.instagram.com/iamjack1997/
Twitter: https://twitter.com/phuongtuan_j97
Tiktok: https://www.tiktok.com/@imjack1997 

J97 Entertainment’s Official Social Networks: 
Website: https://j97entertainment.com 
Fanpage: https://www.facebook.com/J97entertainment.official 
Youtube: https://www.youtube.com/@J97entertainment.official 
Linkedin: https://www.linkedin.com/company/j97entertainment

Appreciate your supporting.",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-03T14:50:26Z,PT28S,[],10,36632,1684,59,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
PKTqqnWEybA,JACK - J97 | MỖI LẦN NHỚ EM LÀ MỘT NGÀY MƯA | Album TAM THÁI TỬ - Track No.6,"Stream trên các nền tảng số 👇🏻👇🏻👇🏻
- Mỗi Lần Nhớ Em Là Một Ngày Mưa: https://jackj97.lnk.to/MLNELMNM

Jack’s Official Social Networks:
https://www.facebook.com/iamPhuongTuan1997
https://www.facebook.com/jack.phuongtuan1204
https://www.instagram.com/iamjack1997/
https://twitter.com/phuongtuan_j97
 https://www.tiktok.com/@imjack1997",UChUJa1JyBc7Lc4orkiNKKQg,J97,2026-09-03T14:30:07Z,PT3M57S,"['Hoa Trong Đá', 'Hoa Trong Da', 'JACK', 'J97', 'JACK J97', 'Jack J97', 'Hoa Trong Đá JACK', 'Hoa Trong Da JACK', 'JACK Hoa Trong Đá', 'J97 Hoa Trong Đá', 'Hoa Trong Đá J97', 'Official Teaser', 'Hoa Trong Đá Official Teaser', 'teaser Hoa Trong Đá', 'Album Tam Thái Tử', 'Tam Thái Tử', 'JACK Album Tam Thái Tử', 'J97 Album Tam Thái Tử', 'teaser JACK J97', 'mỗi lần nhớ em là một ngày mưa', 'moi lan nho em la mot ngay mua', 'mlnelmnm', 'mỗi lần nhớ em']",10,2531930,42688,8322,Jack - J97,2026-09-17 08:19:27.947802+00:00,youtube_api,2026-09-17
